chat_id,speaker,text,sequence,ticket_id_x,ticket_id_y
CHAT-0001,Customer,"Okay, noted.",1,TKT-4955310,TKT-3639972
CHAT-0001,Agent,Let me check your account.,2,TKT-4955310,TKT-3639972
CHAT-0001,Customer,Great service!,3,TKT-4955310,TKT-3639972
CHAT-0001,Agent,I understand your concern.,4,TKT-4955310,TKT-3639972
CHAT-0001,Customer,I see. What should I do now?,5,TKT-4955310,TKT-3639972
CHAT-0001,Agent,Thanks for waiting.,6,TKT-4955310,TKT-3639972
CHAT-0001,Customer,I want to speak to a supervisor.,7,TKT-4955310,TKT-3639972
CHAT-0001,Agent,I'm looking into it for you.,8,TKT-4955310,TKT-3639972
CHAT-0001,Customer,Waiting for your response.,9,TKT-4955310,TKT-3639972
CHAT-0001,Agent,This should be resolved now.,10,TKT-4955310,TKT-3639972
CHAT-0001,Customer,I just need some clarity on this.,11,TKT-4955310,TKT-3639972
CHAT-0001,Agent,Let me check your account.,12,TKT-4955310,TKT-3639972
CHAT-0001,Customer,This is getting frustrating.,13,TKT-4955310,TKT-3639972
CHAT-0001,Agent,I’ve shared the update.,14,TKT-4955310,TKT-3639972
CHAT-0001,Customer,This is unacceptable.,15,TKT-4955310,TKT-3639972
CHAT-0001,Agent,Thanks for waiting.,16,TKT-4955310,TKT-3639972
CHAT-0001,Customer,"Okay, noted.",17,TKT-4955310,TKT-3639972
CHAT-0001,Agent,I’ve shared the update.,18,TKT-4955310,TKT-3639972
CHAT-0001,Customer,Can you help me with this?,19,TKT-4955310,TKT-3639972
CHAT-0001,Agent,Thanks for waiting.,20,TKT-4955310,TKT-3639972
CHAT-0001,Customer,I'm really unhappy with this service.,21,TKT-4955310,TKT-3639972
CHAT-0001,Agent,I'm looking into it for you.,22,TKT-4955310,TKT-3639972
CHAT-0001,Customer,Great service!,23,TKT-4955310,TKT-3639972
CHAT-0001,Agent,This should be resolved now.,24,TKT-4955310,TKT-3639972
CHAT-0001,Customer,I appreciate your support.,25,TKT-4955310,TKT-3639972
CHAT-0001,Agent,This should be resolved now.,26,TKT-4955310,TKT-3639972
CHAT-0001,Customer,You're really helpful!,27,TKT-4955310,TKT-3639972
CHAT-0001,Agent,This should be resolved now.,28,TKT-4955310,TKT-3639972
CHAT-0001,Customer,Why do I need to repeat myself?,29,TKT-4955310,TKT-3639972
CHAT-0001,Agent,I'm looking into it for you.,30,TKT-4955310,TKT-3639972
CHAT-0001,Customer,Great service!,31,TKT-4955310,TKT-3639972
CHAT-0001,Agent,Let me check your account.,32,TKT-4955310,TKT-3639972
CHAT-0001,Customer,I'm checking the issue again.,33,TKT-4955310,TKT-3639972
CHAT-0001,Agent,This should be resolved now.,34,TKT-4955310,TKT-3639972
CHAT-0001,Customer,Great service!,35,TKT-4955310,TKT-3639972
CHAT-0001,Agent,I'm looking into it for you.,36,TKT-4955310,TKT-3639972
CHAT-0001,Customer,"Thank you so much, that helped!",37,TKT-4955310,TKT-3639972
CHAT-0001,Agent,I’ve shared the update.,38,TKT-4955310,TKT-3639972
CHAT-0001,Customer,Thanks for resolving it fast.,39,TKT-4955310,TKT-3639972
CHAT-0001,Agent,I'm looking into it for you.,40,TKT-4955310,TKT-3639972
CHAT-0001,Customer,Can you help me with this?,41,TKT-4955310,TKT-3639972
CHAT-0001,Agent,This should be resolved now.,42,TKT-4955310,TKT-3639972
CHAT-0001,Customer,"Okay, noted.",43,TKT-4955310,TKT-3639972
CHAT-0001,Agent,This should be resolved now.,44,TKT-4955310,TKT-3639972
CHAT-0001,Customer,This is getting frustrating.,45,TKT-4955310,TKT-3639972
CHAT-0002,Customer,"All good now, thanks!",1,TKT-8502614,TKT-7079756
CHAT-0002,Agent,I’ve shared the update.,2,TKT-8502614,TKT-7079756
CHAT-0002,Customer,"All good now, thanks!",3,TKT-8502614,TKT-7079756
CHAT-0002,Agent,Let me check your account.,4,TKT-8502614,TKT-7079756
CHAT-0002,Customer,I'm really unhappy with this service.,5,TKT-8502614,TKT-7079756
CHAT-0002,Agent,This should be resolved now.,6,TKT-8502614,TKT-7079756
CHAT-0002,Customer,You still haven't resolved my issue.,7,TKT-8502614,TKT-7079756
CHAT-0002,Agent,This should be resolved now.,8,TKT-8502614,TKT-7079756
CHAT-0002,Customer,This was quick and easy.,9,TKT-8502614,TKT-7079756
CHAT-0002,Agent,I understand your concern.,10,TKT-8502614,TKT-7079756
CHAT-0002,Customer,I'm checking the issue again.,11,TKT-8502614,TKT-7079756
CHAT-0002,Agent,I understand your concern.,12,TKT-8502614,TKT-7079756
CHAT-0002,Customer,I just need some clarity on this.,13,TKT-8502614,TKT-7079756
CHAT-0002,Agent,Thanks for waiting.,14,TKT-8502614,TKT-7079756
CHAT-0002,Customer,Terrible support.,15,TKT-8502614,TKT-7079756
CHAT-0002,Agent,This should be resolved now.,16,TKT-8502614,TKT-7079756
CHAT-0002,Customer,Great service!,17,TKT-8502614,TKT-7079756
CHAT-0002,Agent,I understand your concern.,18,TKT-8502614,TKT-7079756
CHAT-0002,Customer,I'm really unhappy with this service.,19,TKT-8502614,TKT-7079756
CHAT-0002,Agent,Thanks for waiting.,20,TKT-8502614,TKT-7079756
CHAT-0002,Customer,"Okay, noted.",21,TKT-8502614,TKT-7079756
CHAT-0002,Agent,I'm looking into it for you.,22,TKT-8502614,TKT-7079756
