csat_id,ticket_id,customer_id,issue_type,kb_article_id,csat_score,resolution_status,created_date,comments
0276b4ef-c299-47d8-8d77-6f8a52e91e91,TKT-838266,CUST-3777,Keyboard Not Working,1f862882-8d81-40a3-8459-21c021cccff6,4,unresolved,2025-01-28,Support has not been able to resolve my problem. Disappointed so far.
678596be-9a0c-4cf0-87e8-397db320856d,TKT-168141,CUST-1235,Slow Performance,907d3e55-5965-445d-bdd1-2b93d6e384bc,4,resolved,2024-09-16,Grateful for the prompt assistance. The resolution steps worked like a charm and the system is running fine.
adfde4b5-57a9-4b4a-93d0-6cd2bdd2d004,TKT-561926,CUST-1194,Slow Performance,9115c2e0-8403-4c6b-a9d0-014c7c4ea861,4,resolved,2024-08-24,I'm really happy with how quickly the issue was resolved. The steps were clear and helpful. My laptop is now working perfectly. Thanks!
63add9a5-1320-4e67-8788-007cab9f4dc2,TKT-856885,CUST-7156,Keyboard Not Working,2c1d8d55-eaa0-44d5-9a9d-dbc34e451342,4,resolved,2024-06-09,Support experience was excellent. Resolution was straightforward and resolved my issue completely.
86c6b6fa-8b55-46a9-8abb-031c573854c2,TKT-477042,CUST-5877,Slow Performance,4a02cac4-3a60-4160-91ed-5a37812ba2e3,4,resolved,2024-11-17,Very satisfied with the help provided. My connectivity issue is resolved and performance is much better now.
61f3b9bf-d2c2-48b6-bbbf-380640449242,TKT-583549,CUST-2753,No POST,7baedace-7c0b-47b2-855e-16b465fc432b,5,resolved,2024-09-05,Support team did a wonderful job. Clear instructions and patient guidance. Resolved without any hassle.
8ba5ad38-aa46-4f28-95ee-c143e740f866,TKT-962608,CUST-6091,Cannot Connect to Internet,ab6b7051-271e-49e6-8ee9-4419a403c150,5,resolved,2024-08-28,Excellent service. The resolution was quick and the KB article was very informative. Great job!
f407231a-438f-4ae6-b025-4d4913649d74,TKT-991010,CUST-8925,Slow Performance,9115c2e0-8403-4c6b-a9d0-014c7c4ea861,3,resolved,2025-02-16,Impressed with the technical support. Quick response and accurate resolution.
4c83ca48-f4f3-4a65-9271-ea68d87b7949,TKT-305717,CUST-7160,Overheating,19033e6d-07b8-44dd-8412-fcb349a13196,5,resolved,2025-03-17,Support experience was excellent. Resolution was straightforward and resolved my issue completely.
228e84e8-a361-4ab8-8f07-389e9336e458,TKT-993191,CUST-8274,Blue Screen Error,aac045dd-5c00-4764-8500-26830c7b7a04,4,resolved,2024-06-13,I'm really happy with how quickly the issue was resolved. The steps were clear and helpful. My laptop is now working perfectly. Thanks!
b5ed1820-e9df-47c7-8d91-e235c69525c0,TKT-276565,CUST-2863,Touchpad Not Responding,9fc4f6ea-afbc-46e9-8105-17249f9c5139,5,resolved,2024-10-10,Issue got resolved smoothly. Appreciate the support team's assistance and clarity of instructions.
5b8a6c3c-a444-43a3-b35f-be09fcd14330,TKT-997116,CUST-6722,Touchpad Not Responding,548f17b5-886d-4213-8a37-415169b98f49,4,resolved,2024-09-30,Support team did a wonderful job. Clear instructions and patient guidance. Resolved without any hassle.
d0b70823-f688-4f82-a9e5-ad4015941ebc,TKT-635570,CUST-4355,Keyboard Not Working,76550876-25ef-4ccc-a401-61e9500c0245,4,resolved,2024-06-15,Everything is back to normal. The support was timely and effective. Thanks to the detailed KB article.
7be3ded7-616e-4da1-ad29-8b67670b7b17,TKT-573895,CUST-6466,Blue Screen Error,298d2dfb-f2a9-46b8-b5f6-1bae9ed92b02,4,resolved,2025-02-14,Excellent service. The resolution was quick and the KB article was very informative. Great job!
0be6e64e-c48a-43ec-87ce-756f536553d3,TKT-382120,CUST-1133,Display Flickering,b8577e4b-0601-4c38-8619-d8d182c2ea9f,4,resolved,2024-07-26,I'm really happy with how quickly the issue was resolved. The steps were clear and helpful. My laptop is now working perfectly. Thanks!
