customer_id,customer_name,ticket_id,issue_type,resolution_type,resolution_status,previous_resolution_attempts,ticket_created_date,ticket_closed_date,csat_score,resolution_time_hours,escalated
CUST-7992,Customer_7576,TKT-9739625,Battery Not Charging,"After listening to the issue, I decided to follow a structured approach using as outlined in the KB article b8362391-476b-4289-8379-3d2f1b279687 titled 'How to troubleshoot: No POST'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,3,2024-09-24,2024-10-03,5,216.0,0
CUST-2697,Customer_7613,TKT-6351273,No POST,"The resolution steps I followed were based on whats recommended in the article 'How to troubleshoot: Slow Performance'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,1,2024-05-27,2024-05-29,3,48.0,0
CUST-2590,Customer_4922,TKT-8039853,Laptop makes beeping noise on startup,"We began with a few checks and proceeded based on the process defined as outlined in the KB article fa8923b3-4456-4da5-812a-d35a56857e94 titled 'How to troubleshoot: Slow Performance'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,0,2024-11-13,2024-11-16,3,72.0,0
CUST-89530,Customer_3591,TKT-6280204,Keyboard Not Working,"We began with a few checks and proceeded based on the process defined in the article 'How to troubleshoot: Display Flickering'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,3,2024-08-07,2024-08-09,4,48.0,0
CUST-6812,Customer_3886,TKT-8564672,Display Flickering,"I've handled similar issues before, so I used the guidance as outlined in the KB article 7502efae-94a2-4d55-bbf1-532395484c1b titled 'How to troubleshoot: Blue Screen Error' to troubleshoot this. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,0,2025-05-08,2025-05-13,2,120.0,0
CUST-9718,Customer_5677,TKT-1969986,Battery Not Charging,"The resolution steps I followed were based on whats recommended as outlined in the KB article 0d6c7f62-f7f6-4e64-ab3d-e00a3b66c12a titled 'How to troubleshoot: Keyboard Not Working'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,1,2024-11-18,2024-11-28,3,240.0,1
CUST-6422,Customer_8088,TKT-7496475,Battery Not Charging,"The resolution steps I followed were based on whats recommended as outlined in the KB article ca3d5145-0fd5-4b1e-8b7c-68e7ebd4770a titled 'How to troubleshoot: No POST'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,2,2024-09-10,2024-09-15,4,120.0,1
CUST-6094,Customer_2799,TKT-9017048,Keyboard Not Working,"After listening to the issue, I decided to follow a structured approach using in the article 'How to troubleshoot: Battery Not Charging'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,2,2024-11-03,2024-11-09,1,144.0,0
CUST-2927,Customer_4524,TKT-6144894,Slow Performance,"The customer reported a recurring issue, so I walked them through a few basic steps in the article 'How to troubleshoot: Battery Not Charging'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,2,2025-01-18,2025-01-26,1,192.0,0
CUST-2379,Customer_1412,TKT-2441533,Keyboard Not Working,"The resolution steps I followed were based on whats recommended as outlined in the KB article ca3d5145-0fd5-4b1e-8b7c-68e7ebd4770a titled 'How to troubleshoot: No POST'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,3,2024-07-01,2024-07-10,3,216.0,0
CUST-5721,Customer_5937,TKT-3474476,Touchpad Not Responding,"The resolution steps I followed were based on whats recommended as outlined in the KB article ca3d5145-0fd5-4b1e-8b7c-68e7ebd4770a titled 'How to troubleshoot: No POST'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,0,2024-07-28,2024-08-05,1,192.0,0
CUST-5541,Customer_4636,TKT-1499082,Touchpad Not Responding,"The customer reported a recurring issue, so I walked them through a few basic steps as outlined in the KB article b8362391-476b-4289-8379-3d2f1b279687 titled 'How to troubleshoot: No POST'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,3,2024-11-25,2024-11-26,2,24.0,1
CUST-5015,Customer_9315,TKT-5358075,Blue Screen Error,"We began with a few checks and proceeded based on the process defined as outlined in the KB article d07130c7-ad09-4409-81af-c4e3e606f1c3 titled 'How to troubleshoot: No Sound'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,2,2024-11-15,2024-11-23,2,192.0,0
CUST-44786,Customer_5609,TKT-1788801,No Sound,"The customer reported a recurring issue, so I walked them through a few basic steps in the article 'How to troubleshoot: No POST'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,0,2024-10-10,2024-10-13,5,72.0,0
CUST-1834,Customer_7351,TKT-2887803,Ports not functioning with external devices,"After listening to the issue, I decided to follow a structured approach using as outlined in the KB article 48619bef-8278-4e17-89e3-7ffa5940bcfa titled 'How to troubleshoot: Blue Screen Error'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,3,2024-08-11,2024-08-20,3,216.0,0
CUST-1215,Customer_6548,TKT-7208298,Touchscreen not detecting input,"After listening to the issue, I decided to follow a structured approach using as outlined in the KB article 637b75a3-e90e-46fd-8577-7d20a454e5ef titled 'How to troubleshoot: Slow Performance'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,1,2024-12-10,2024-12-20,3,240.0,0
CUST-6865,Customer_7270,TKT-7984742,Cannot Connect to Internet,"I've handled similar issues before, so I used the guidance in the article 'How to troubleshoot: Overheating' to troubleshoot this. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,1,2025-04-09,2025-04-18,4,216.0,0
CUST-48026,Customer_1194,TKT-2892565,Keyboard Not Working,"I've handled similar issues before, so I used the guidance in the article 'How to troubleshoot: Blue Screen Error' to troubleshoot this. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,2,2024-06-10,2024-06-12,2,48.0,0
CUST-6572,Customer_5958,TKT-7488903,No POST,"The customer reported a recurring issue, so I walked them through a few basic steps as outlined in the KB article 0d6c7f62-f7f6-4e64-ab3d-e00a3b66c12a titled 'How to troubleshoot: Keyboard Not Working'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,0,2024-11-17,2024-11-22,3,120.0,0
CUST-84599,Customer_9175,TKT-3999399,Cannot Connect to Internet,"The resolution steps I followed were based on whats recommended as outlined in the KB article a0aa39ef-4418-4b00-acca-e16af9527766 titled 'How to troubleshoot: Cannot Connect to Internet'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,0,2024-10-05,2024-10-15,5,240.0,0
CUST-72048,Customer_7855,TKT-7326304,Cannot Connect to Internet,"The customer reported a recurring issue, so I walked them through a few basic steps in the article 'How to troubleshoot: Blue Screen Error'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,2,2024-10-27,2024-11-02,1,144.0,0
CUST-3146,Customer_1362,TKT-4660009,No POST,"I've handled similar issues before, so I used the guidance as outlined in the KB article c1df1caa-2f8b-490d-a51a-27c53e450107 titled 'How to troubleshoot: Slow Performance' to troubleshoot this. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,1,2025-02-04,2025-02-12,5,192.0,0
